Customer ID,total_sales,total_profit,order_count,avg_discount,avg_quantity,customer_name,cluster,cluster_label
CUST-1000,145.01,104.25,1,0.3,7.0,John Smith,2,Low-Value
CUST-1001,944.0,851.3900000000001,5,0.0,5.8,Priya Patel,3,Mid-High
CUST-1002,821.56,1119.71,5,0.0,4.6,Fatima Noor,3,Mid-High
CUST-1003,382.35,426.25000000000006,3,0.049999999999999996,5.0,David O'Brien,0,Mid-Low
CUST-1004,140.23,29.76,2,0.2,5.0,Fatima Noor,2,Low-Value
CUST-1005,19.35,69.56,1,0.0,7.0,David O'Brien,0,Mid-Low
CUST-1006,994.64,1343.81,6,0.041666666666666664,6.333333333333333,Liam O'Connor,1,High-Value
CUST-1007,186.37,139.17,3,0.09999999999999999,5.0,Priya Patel,2,Low-Value
CUST-1008,1265.1100000000001,771.03,8,0.0875,5.5,John Smith,3,Mid-High
CUST-1009,1083.8799999999999,794.1500000000001,3,0.0,3.0,Priya Patel,3,Mid-High
CUST-1010,30.25,42.01,1,0.2,8.0,John Smith,2,Low-Value
CUST-1011,416.13000000000005,289.3,3,0.049999999999999996,2.0,Fatima Noor,0,Mid-Low
CUST-1012,98.05,92.85000000000001,2,0.0,3.0,Fatima Noor,0,Mid-Low
CUST-1013,39.62,33.54,2,0.0,3.0,Maria Garcia ,0,Mid-Low
CUST-1014,1032.53,-196.45,9,0.03888888888888889,4.666666666666667,  John Smith,3,Mid-High
CUST-1015,161.48000000000002,322.16,4,0.0375,4.25,Liam O'Connor,0,Mid-Low
CUST-1016,474.05999999999995,518.51,3,0.15,6.666666666666667,Wei Chen,2,Low-Value
CUST-1017,1496.45,273.74,3,0.0,4.666666666666667,Priya Patel,3,Mid-High
CUST-1018,538.6700000000001,506.01,3,0.0,5.666666666666667,Fatima Noor,0,Mid-Low
CUST-1020,16.78,9.3,1,0.0,2.0,Wei Chen,0,Mid-Low
CUST-1021,99.37,47.07,1,0.3,5.0,Fatima Noor,2,Low-Value
CUST-1022,63.7,4.94,2,0.0,1.5,Liam O'Connor,0,Mid-Low
CUST-1023,30.61,9.46,1,0.0,1.0,Liam O'Connor,0,Mid-Low
CUST-1024,506.48,105.88,5,0.06000000000000001,3.6,Priya Patel,3,Mid-High
CUST-1025,61.7,47.06,1,0.0,7.0,John Smith,0,Mid-Low
CUST-1026,468.85,-171.82000000000002,3,0.049999999999999996,4.333333333333333,Fatima Noor,0,Mid-Low
CUST-1027,19.23,-12.709999999999999,2,0.1,7.0,Wei Chen,2,Low-Value
CUST-1028,579.9399999999999,222.93,8,0.05,4.875,  John Smith,3,Mid-High
CUST-1029,859.91,856.13,4,0.0375,5.5,Priya Patel,3,Mid-High
CUST-1030,579.28,790.69,5,0.05,6.2,  John Smith,3,Mid-High
CUST-1031,57.92,24.45,1,0.0,5.0,Liam O'Connor,0,Mid-Low
CUST-1032,46.12,-14.84,1,0.0,8.0,Priya Patel,0,Mid-Low
CUST-1033,385.61,399.02,2,0.05,5.5,  John Smith,0,Mid-Low
CUST-1034,66.05,114.16,1,0.0,8.0,Priya Patel,0,Mid-Low
CUST-1035,170.2,61.51,1,0.15,1.0,Maria Garcia ,2,Low-Value
CUST-1037,151.16,109.86,2,0.0,5.5,Liam O'Connor,0,Mid-Low
CUST-1038,1165.69,1692.19,4,0.0,5.25,Liam O'Connor,1,High-Value
CUST-1039,401.34000000000003,382.88,3,0.03333333333333333,4.333333333333333,Priya Patel,0,Mid-Low
CUST-1040,196.87,304.44,3,0.0,5.666666666666667,Priya Patel,0,Mid-Low
CUST-1041,454.85,314.8,3,0.16666666666666666,3.6666666666666665,John Smith,2,Low-Value
CUST-1042,400.31,444.24,3,0.03333333333333333,3.6666666666666665,Fatima Noor,0,Mid-Low
CUST-1043,208.68,210.32,3,0.049999999999999996,6.666666666666667,David O'Brien,0,Mid-Low
CUST-1044,349.68,97.77,3,0.049999999999999996,5.333333333333333,Liam O'Connor,0,Mid-Low
CUST-1045,53.7,90.08,1,0.1,9.0,Fatima Noor,2,Low-Value
CUST-1046,769.8599999999999,176.47,4,0.175,3.25,Liam O'Connor,2,Low-Value
CUST-1047,1049.83,1096.83,8,0.1125,5.0,Aisha Khan,1,High-Value
CUST-1048,60.06,33.59,3,0.049999999999999996,6.333333333333333,Maria Garcia ,0,Mid-Low
CUST-1049,629.02,180.16000000000003,5,0.02,4.0,Liam O'Connor,3,Mid-High
CUST-1050,1507.51,-660.8399999999999,3,0.15,4.0,Wei Chen,2,Low-Value
CUST-1051,311.32,263.67,4,0.0,4.5,Fatima Noor,0,Mid-Low
CUST-1052,432.46,211.31,3,0.049999999999999996,6.333333333333333,Wei Chen,0,Mid-Low
CUST-1053,76.36,-80.78,2,0.05,8.5,Wei Chen,0,Mid-Low
CUST-1054,138.29999999999998,113.77,4,0.05,5.5,  John Smith,0,Mid-Low
CUST-1055,642.23,24.39,4,0.0,5.75,Fatima Noor,3,Mid-High
CUST-1056,40.5,27.18,1,0.0,4.0,,0,Mid-Low
CUST-1057,197.46,20.96,2,0.075,1.0,Aisha Khan,0,Mid-Low
CUST-1058,629.92,295.05,2,0.05,5.0,Maria Garcia ,0,Mid-Low
CUST-1059,581.1600000000001,298.77,3,0.03333333333333333,6.666666666666667,Priya Patel,0,Mid-Low
CUST-1060,1781.69,1397.0800000000002,5,0.0,4.0,David O'Brien,1,High-Value
CUST-1061,25.57,0.37,1,0.0,2.0,Wei Chen,0,Mid-Low
CUST-1062,780.17,-33.52,5,0.02,4.2,David O'Brien,3,Mid-High
CUST-1063,12.78,1.99,1,0.0,3.0,Priya Patel,0,Mid-Low
CUST-1064,1092.6,1205.33,3,0.06666666666666667,3.6666666666666665,John Smith,1,High-Value
CUST-1065,612.53,345.17,3,0.03333333333333333,3.0,Liam O'Connor,0,Mid-Low
CUST-1066,108.51,219.22,1,0.0,7.0,Fatima Noor,0,Mid-Low
CUST-1067,382.6,799.33,2,0.05,7.0,Priya Patel,0,Mid-Low
CUST-1068,472.44,1508.7499999999998,5,0.06999999999999999,4.0,Aisha Khan,3,Mid-High
CUST-1069,571.26,323.79999999999995,5,0.06999999999999999,4.4,Aisha Khan,3,Mid-High
CUST-1070,939.9100000000001,388.07,2,0.15,3.5,Priya Patel,2,Low-Value
CUST-1071,424.88,378.40000000000003,2,0.05,5.0,Aisha Khan,0,Mid-Low
CUST-1072,61.739999999999995,26.810000000000002,3,0.06666666666666667,4.333333333333333,Priya Patel,0,Mid-Low
CUST-1073,737.52,996.9499999999999,2,0.0,3.5,Aisha Khan,0,Mid-Low
CUST-1074,1537.15,-267.11,4,0.125,5.25,John Smith,3,Mid-High
CUST-1075,591.76,156.36,3,0.06666666666666667,3.6666666666666665,Wei Chen,0,Mid-Low
CUST-1076,207.93,202.58,3,0.03333333333333333,5.333333333333333,Maria Garcia ,0,Mid-Low
CUST-1077,322.75,152.75,5,0.1,4.6,Aisha Khan,3,Mid-High
CUST-1078,514.03,223.26,5,0.13999999999999999,5.4,Aisha Khan,3,Mid-High
CUST-1079,58.760000000000005,35.34,2,0.0,2.5,Priya Patel,0,Mid-Low
CUST-1080,353.86,98.78999999999999,3,0.09999999999999999,3.0,Aisha Khan,2,Low-Value
CUST-1082,726.7099999999999,1248.8700000000001,4,0.05,5.5,Fatima Noor,3,Mid-High
CUST-1083,70.85,55.25,2,0.0,2.5,Liam O'Connor,0,Mid-Low
CUST-1084,59.41,76.41,1,0.2,8.0,  John Smith,2,Low-Value
CUST-1085,110.77000000000001,76.88,2,0.075,6.5,Priya Patel,0,Mid-Low
CUST-1086,427.88,332.40999999999997,2,0.15,4.5,Priya Patel,2,Low-Value
CUST-1087,80.62,112.41,2,0.0,4.5,Aisha Khan,0,Mid-Low
CUST-1088,729.41,317.71,4,0.1,6.0,Liam O'Connor,3,Mid-High
CUST-1089,237.23000000000002,38.51,3,0.0,2.6666666666666665,Liam O'Connor,0,Mid-Low
CUST-1090,53.36,33.22,2,0.075,2.5,John Smith,0,Mid-Low
CUST-1091,644.6700000000001,1496.6200000000001,3,0.11666666666666665,6.0,Maria Garcia ,1,High-Value
CUST-1092,18.81,10.76,1,0.2,2.0,Aisha Khan,2,Low-Value
CUST-1093,996.26,770.55,3,0.18333333333333335,4.666666666666667,Priya Patel,2,Low-Value
CUST-1094,168.54,231.45,3,0.0,6.333333333333333,David O'Brien,0,Mid-Low
CUST-1095,722.5899999999999,247.84,5,0.06,5.4,Fatima Noor,3,Mid-High
CUST-1096,57.260000000000005,111.63,2,0.0,9.0,Fatima Noor,0,Mid-Low
CUST-1097,142.11,290.29999999999995,3,0.03333333333333333,6.333333333333333,John Smith,0,Mid-Low
CUST-1099,1555.48,605.6700000000001,6,0.05000000000000001,5.833333333333333,Liam O'Connor,3,Mid-High
CUST-1100,350.78000000000003,212.38,3,0.15,5.0,Maria Garcia ,2,Low-Value
CUST-1101,643.59,680.36,5,0.04,5.0,David O'Brien,3,Mid-High
CUST-1102,599.3299999999999,-41.56,4,0.0875,3.25,Aisha Khan,3,Mid-High
CUST-1103,561.8499999999999,312.34,6,0.05833333333333333,4.666666666666667,Priya Patel,3,Mid-High
CUST-1104,251.63,587.3,3,0.18333333333333335,6.666666666666667,Fatima Noor,2,Low-Value
CUST-1105,2478.2200000000003,2875.7799999999997,7,0.0642857142857143,4.571428571428571,John Smith,1,High-Value
CUST-1106,78.67,148.81,1,0.1,9.0,Liam O'Connor,2,Low-Value
CUST-1107,476.13,-350.84000000000003,3,0.0,6.666666666666667,Aisha Khan,0,Mid-Low
CUST-1108,230.14,-17.73,4,0.025,3.5,Maria Garcia ,0,Mid-Low
CUST-1109,56.97,-0.31000000000000005,2,0.1,1.0,Priya Patel,2,Low-Value
CUST-1110,1385.47,25.000000000000004,5,0.12,4.0,David O'Brien,3,Mid-High
CUST-1111,808.13,633.78,2,0.05,6.0,John Smith,0,Mid-Low
CUST-1112,122.53999999999999,120.33000000000001,2,0.0,9.0,Priya Patel,0,Mid-Low
